job_id,scenario_id,run_id,season,date,config
0,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-10-14,celebahq_noTTJ5
1,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-10-14,celebahq_try3
2,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-10-14,celebahq
3,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-10-28,celebahq_noTTJ5
4,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-10-28,celebahq_try3
5,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-10-28,celebahq
6,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-11-11,celebahq_noTTJ5
7,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-11-11,celebahq_try3
8,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-11-11,celebahq
9,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-11-25,celebahq_noTTJ5
10,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-11-25,celebahq_try3
11,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-11-25,celebahq
12,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-12-09,celebahq_noTTJ5
13,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-12-09,celebahq_try3
14,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-12-09,celebahq
15,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-12-23,celebahq_noTTJ5
16,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-12-23,celebahq_try3
17,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2023-12-23,celebahq
18,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-01-06,celebahq_noTTJ5
19,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-01-06,celebahq_try3
20,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-01-06,celebahq
21,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-01-20,celebahq_noTTJ5
22,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-01-20,celebahq_try3
23,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-01-20,celebahq
24,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-02-03,celebahq_noTTJ5
25,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-02-03,celebahq_try3
26,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-02-03,celebahq
27,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-02-17,celebahq_noTTJ5
28,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-02-17,celebahq_try3
29,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-02-17,celebahq
30,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-02,celebahq_noTTJ5
31,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-02,celebahq_try3
32,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-02,celebahq
33,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-16,celebahq_noTTJ5
34,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-16,celebahq_try3
35,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-16,celebahq
36,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-30,celebahq_noTTJ5
37,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-30,celebahq_try3
38,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-03-30,celebahq
39,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-04-13,celebahq_noTTJ5
40,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-04-13,celebahq_try3
41,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-04-13,celebahq
42,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-04-27,celebahq_noTTJ5
43,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-04-27,celebahq_try3
44,36,ad86a8ef3da4442381cbab309cea952b,2023-2024,2024-04-27,celebahq
45,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-11-23,celebahq_noTTJ5
46,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-11-23,celebahq_try3
47,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-11-23,celebahq
48,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-12-07,celebahq_noTTJ5
49,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-12-07,celebahq_try3
50,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-12-07,celebahq
51,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-12-21,celebahq_noTTJ5
52,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-12-21,celebahq_try3
53,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2024-12-21,celebahq
54,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-01-04,celebahq_noTTJ5
55,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-01-04,celebahq_try3
56,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-01-04,celebahq
57,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-01-18,celebahq_noTTJ5
58,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-01-18,celebahq_try3
59,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-01-18,celebahq
60,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-02-01,celebahq_noTTJ5
61,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-02-01,celebahq_try3
62,36,ad86a8ef3da4442381cbab309cea952b,2024-2025,2025-02-01,celebahq
